UnixTime,Interpolated Gaze X,Interpolated Gaze Y,Interpolated Distance,Gaze Velocity,Gaze Acceleration,Fixation Index,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion
1680003662.38982,1095,488.5,582.304168701172,23.9968862937738,-2251.55603062946,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.39908,1100.5,484.666666666667,582.359558105469,0.391227929759661,-2547.69395759174,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.40651,1094.83333333333,488.166666666667,582.297515869141,5.94491531002146,747.216600102963,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.41528,1098.66666666667,479.5,582.301788330078,14.129642997316,933.583630352633,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.42317,1099.66666666667,475.666666666667,578.830688476563,11.5459248308496,-327.612777082241,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.43148,1103,469.833333333333,582.229095458984,6.71646286435418,-580.778301547002,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.43982,1100.33333333333,469.333333333333,582.196746826172,8.28159790088547,187.753870098545,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.44817,1107.66666666667,476.166666666667,582.212005615234,18.6013984348351,1235.8006555064,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.45659,1109.83333333333,484.333333333333,582.084655761719,13.7541563827223,-575.900823603888,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.4648,1111.83333333333,488.5,582.006500244141,2.0099113911281,-1429.92317143094,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.47319,1108.33333333333,483.166666666667,581.956329345703,12.2444016883404,1219.23355379142,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.48148,1110.16666666667,477,581.762451171875,4.96329799008983,-879.063082322722,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.48981,1108.83333333333,478.5,581.629425048828,6.26227996316476,155.805542996872,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.49817,1109,482.833333333333,581.5322265625,4.58706542085981,-200.377324055942,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.50648,1111.16666666667,482.166666666667,581.348754882813,10.033149502992,656.028245413915,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.51502,1118.5,484.333333333333,581.267333984375,11.875504406284,215.598621849724,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.52316,1121,487.666666666667,578.8125,12.7100094922513,102.553068704252,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.53148,1118.83333333333,496.166666666667,581.084655761719,17.3929414798378,563.075737681107,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.53981,1112.33333333333,501.666666666667,581.018798828125,11.0838482748493,-757.121469458834,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.54814,1108.33333333333,496.5,580.979217529297,16.4155826111003,639.918186278919,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.55648,1096.83333333333,500.333333333333,580.844696044922,23.3281324989449,829.011895451357,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.5648,1087.5,503.833333333333,580.810791015625,24.242508703402,109.902307053788,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.57327,1079.83333333333,516,580.787445068359,15.8139808711806,-995.350421265319,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.58147,1084.5,518.5,580.693389892578,9.6225571576056,-754.407665843656,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.58981,1088.83333333333,516.833333333333,580.713012695313,10.8927217885532,152.438658107153,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.59813,1094,514.5,580.790771484375,11.1646140103581,32.6503136398578,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.60653,1096.16666666667,509.166666666667,580.763641357422,10.1128254860293,-125.183114059578,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.61485,1097.33333333333,505.5,580.826232910156,8.10019731624345,-242.152726349878,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.62316,1098.33333333333,501.833333333333,580.953460693359,3.34746452165364,-571.826119783876,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.63148,1096.33333333333,502.5,581.001373291016,12.3632902061895,1083.13819224212,1542,1102.25,492.122222222222,517385.66865,517635.6495,249.980849999993,0.305690386665417
1680003662.63982,1087.33333333333,497.833333333333,581.143218994141,43.9911369128613,3793.76339920458,,,,,,,
1680003662.64814,1055,497.5,581.334259033203,106.206020857354,7479.63836361955,,,,,,,
1680003662.65654,986.5,493.833333333333,581.429046630859,162.108756838356,6649.94182847991,,,,,,,
1680003662.66479,901.666666666667,495.833333333333,581.619720458984,159.674034650209,-295.207297742317,,,,,,,
1680003662.67313,836,490.166666666667,581.832885742188,96.1936928866626,-7608.81478647926,,,,,,,
1680003662.68145,811.333333333333,483.333333333333,581.942047119141,30.3032185228609,-7918.95709011148,,,,,,,
1680003662.6898,811.166666666667,475.666666666667,582.100250244141,11.40809539198,-2264.76047642782,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.69812,813.166666666667,472.666666666667,582.260223388672,11.2611032442362,-17.6573507446339,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.70655,805.833333333333,466.333333333333,582.286651611328,10.0660058223608,-141.824392029351,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
